"ID","Nimi","Namn","Name","Osoite","Adress","Kaupunki","Stad","Kapasiteet","x","y"
"219","Näyttelijäntie","Skådespelarvägen","Näyttelijäntie","Kaupintie 3","Krämärvägen 3","Helsinki","Helsingfors",16,24.887547040742,60.2328640962858
"220","Ida Aalbergin tie","Ida Aalbergs väg","Ida Aalbergin tie","Näyttelijäntie 14","Skådespelarvägen 14","Helsinki","Helsingfors",18,24.8952023541771,60.2295326765972
"221","Thalianaukio","Thaliaplatsen","Thalianaukio","Aino Ackten tie 1","Aino Acktés väg 1","Helsinki","Helsingfors",14,24.8947958642764,60.2253423108921
"222","Huovitie","Knektvägen","Huovitie","Huovitie 10","Knektvägen 10","Helsinki","Helsingfors",12,24.9032866466572,60.2219755272546
"223","Hämeenlinnanväylä","Tavastehusleden","Hämeenlinnanväylä","Teuvo Pakkalan tie 2","Eliel Saarinens väg 2","Helsinki","Helsingfors",14,24.9028322456731,60.2274510674778
"224","Vesakkotie","Snårvägen","Vesakkotie","Männikkötie 11","Talldungevägen 11","Helsinki","Helsingfors",12,24.9266153826484,60.2279595153713
"225","Maunula","Månsas","Maunula","Maunulanmäki 2","Månsasbacken 2","Helsinki","Helsingfors",16,24.9325030021006,60.2303828796011
"226","Lepolantie","Lepolavägen","Lepolantie","Lepolantie 61","Lepolavägen 61","Helsinki","Helsingfors",14,24.9286046557082,60.2390854029504
"227","Kylävoudintie","Byfogdevägen","Kylävoudintie","Kylävoudintie 6","Byfogdevägen 6","Helsinki","Helsingfors",14,24.9525612440734,60.2244037765729
"228","Kustaankartano","Gustafsgård","Kustaankartano","Maapadontie 3","Jorddammsvägen 3","Helsinki","Helsingfors",20,24.9487651621964,60.2307028618145
"229","Käskynhaltijantie","Ståthållarvägen","Käskynhaltijantie","Hirsipadontie 2","Timmerdammsvägen 2","Helsinki","Helsingfors",18,24.957934116941,60.2332319429452
"230","Mäkitorpantie","Kullatorpsvägen","Mäkitorpantie","Kylänvanhimmantie 29","Byäldstevägen 29","Helsinki","Helsingfors",18,24.9603356197765,60.2285300629765
"231","Siltavoudintie","Brofogdegränd","Siltavoudintie","Käskynhaltijantie 22","Ståthållarvägen 22","Helsinki","Helsingfors",16,24.9649692401006,60.2337172192606
"232","Oulunkylän asema","Åggelby station","Oulunkylä Station","Oulunkyläntori 2","Åggelbytorget 2","Helsinki","Helsingfors",14,24.9667185624345,60.2291001546027
